INFO:root:cuda_device : 4
eos_m_token : EOS_M
beam_len_bonus : 0.5
mode : unknown
m : TSD
prev_z_method : separate
dataset : camrest
seed : 0
vocab_size : 800
embedding_size : 50
hidden_size : 50
split : (9, 1, 5)
lr : 0.003
lr_decay : 0.5
layer_num : 1
z_length : 16
max_ts : 50
early_stop_count : 5
cuda : True
vocab_path : ./vocab/vocab-multiwoz_sys.pkl
data : /data/qkun/simulator/data/multiwoz-master/data/multi-woz/rest_sys.json
entity : ./data/multi_woz/ontology.json
db : /data/qkun/simulator/data/multiwoz-master/data/multi-woz/restaurant_db.json
model_path : ./models/multiwoz_sys915.pkl
result_path : ./results/multiwoz_sys.csv
glove_path : ../sequicity/data/glove/glove.6B.50d.txt
batch_size : 32
degree_size : 5
dropout_rate : 0.5
epoch_num : 100
rl_epoch_num : 1
spv_proportion : 100
new_vocab : True
teacher_force : 100
beam_search : False
beam_size : 10
sampling : False
use_positional_embedding : False
unfrz_attn_epoch : 0
skip_unsup : False
truncated : False
pretrain : False

INFO:root:Device: 4
INFO:root:761 known embedding. old mean: 0.009919 new mean 0.039230, old std 1.000853 new std 0.688702
INFO:root:loss:4.6996870040893555 pr_loss:0.6555811762809753 m_loss:4.0441060066223145 grad:1.1360340382067147
INFO:root:loss:4.304539680480957 pr_loss:0.4972667694091797 m_loss:3.8072726726531982 grad:1.1709291996099318
INFO:root:loss:4.231389999389648 pr_loss:0.37964576482772827 m_loss:3.8517444133758545 grad:1.0380927443322496
INFO:root:loss:4.212852478027344 pr_loss:0.44433078169822693 m_loss:3.768521785736084 grad:1.334151138968265
INFO:root:loss:4.2977519035339355 pr_loss:0.4854539930820465 m_loss:3.812298059463501 grad:1.0145417991677583
INFO:root:loss:3.8148841857910156 pr_loss:0.336996853351593 m_loss:3.4778873920440674 grad:1.1675861879939242
INFO:root:loss:4.462125301361084 pr_loss:0.5336441993713379 m_loss:3.928481101989746 grad:0.8471148258988598
INFO:root:loss:4.508654594421387 pr_loss:0.5680311322212219 m_loss:3.9406232833862305 grad:0.9423669648335984
INFO:root:loss:4.383386611938477 pr_loss:0.4222903251647949 m_loss:3.9610962867736816 grad:0.8146928660619245
INFO:root:loss:4.022297382354736 pr_loss:0.2692679166793823 m_loss:3.7530293464660645 grad:0.7834519491257218
INFO:root:loss:3.8578104972839355 pr_loss:0.24830597639083862 m_loss:3.609504461288452 grad:0.9954850601609329
INFO:root:loss:4.205123424530029 pr_loss:0.501676619052887 m_loss:3.703446865081787 grad:1.2055255620574967
INFO:root:loss:4.038578987121582 pr_loss:0.35622137784957886 m_loss:3.6823575496673584 grad:0.8754911114551561
INFO:root:loss:3.6629953384399414 pr_loss:0.2507660388946533 m_loss:3.412229299545288 grad:0.9997074931303436
INFO:root:loss:4.292332172393799 pr_loss:0.47827446460723877 m_loss:3.8140578269958496 grad:0.8766027201706444
INFO:root:loss:4.177286148071289 pr_loss:0.45770496129989624 m_loss:3.719581127166748 grad:1.070102452949914
INFO:root:loss:4.117120265960693 pr_loss:0.40520408749580383 m_loss:3.711916208267212 grad:0.9256546581110036
INFO:root:loss:3.933156967163086 pr_loss:0.31652557849884033 m_loss:3.616631269454956 grad:0.8976761221396458
INFO:root:loss:3.8231303691864014 pr_loss:0.2608043849468231 m_loss:3.562325954437256 grad:1.0472181929732018
INFO:root:loss:3.9520533084869385 pr_loss:0.30114540457725525 m_loss:3.6509079933166504 grad:0.7427953487060227
INFO:root:loss:3.7735259532928467 pr_loss:0.254731684923172 m_loss:3.518794298171997 grad:0.8833754752191854
INFO:root:loss:3.476775884628296 pr_loss:0.13186399638652802 m_loss:3.344911813735962 grad:1.0164856166796516
INFO:root:Traning time: 70.82480144500732
INFO:root:avg training loss in epoch 0 sup:5.429794
INFO:root:validation loss in epoch 0 sup:5.296030 unsup:0.000000
INFO:root:time for epoch 0: 127.694511
INFO:root:loss:3.204498529434204 pr_loss:0.1436041295528412 m_loss:3.06089448928833 grad:2.577685039081753
INFO:root:loss:3.867908477783203 pr_loss:0.081691674888134 m_loss:3.7862167358398438 grad:2.5646562012756613
INFO:root:loss:3.5690958499908447 pr_loss:0.05698992684483528 m_loss:3.512105941772461 grad:2.2929415508427997
INFO:root:loss:3.287837028503418 pr_loss:0.19141820073127747 m_loss:3.096418857574463 grad:3.9606149126264127
INFO:root:loss:4.296431541442871 pr_loss:0.5163116455078125 m_loss:3.7801201343536377 grad:4.785738423912805
INFO:root:loss:3.150916576385498 pr_loss:0.29984405636787415 m_loss:2.8510725498199463 grad:3.494759158838238
INFO:root:loss:3.7200491428375244 pr_loss:0.19518788158893585 m_loss:3.5248613357543945 grad:3.4651067522852914
INFO:root:loss:4.546929836273193 pr_loss:0.2536289095878601 m_loss:4.293301105499268 grad:3.4721237338879902
INFO:root:loss:4.2236762046813965 pr_loss:0.48136165738105774 m_loss:3.742314338684082 grad:4.126761527923378
INFO:root:loss:5.437256813049316 pr_loss:0.11886797845363617 m_loss:5.318388938903809 grad:5.100549109524823
INFO:root:loss:3.573208808898926 pr_loss:0.0793345496058464 m_loss:3.4938743114471436 grad:2.2400785562535748
INFO:root:loss:4.376565933227539 pr_loss:0.06470132619142532 m_loss:4.311864376068115 grad:2.4444241594950524
INFO:root:loss:4.226020336151123 pr_loss:0.27065348625183105 m_loss:3.955366849899292 grad:1.444884793381286
INFO:root:loss:4.58039665222168 pr_loss:0.41461190581321716 m_loss:4.16578483581543 grad:1.7302897830284893
INFO:root:loss:4.180373191833496 pr_loss:0.5291637778282166 m_loss:3.651209592819214 grad:1.726274959404227
INFO:root:loss:3.5570671558380127 pr_loss:0.3248106837272644 m_loss:3.2322564125061035 grad:1.5609989888607478
INFO:root:loss:4.129186630249023 pr_loss:0.3767779767513275 m_loss:3.752408504486084 grad:1.794994288688092
INFO:root:loss:3.8520517349243164 pr_loss:0.28827229142189026 m_loss:3.563779354095459 grad:1.2853671297347946
INFO:root:loss:3.2833943367004395 pr_loss:0.1518905758857727 m_loss:3.1315038204193115 grad:1.0880750676673019
INFO:root:loss:4.227356910705566 pr_loss:0.438725084066391 m_loss:3.7886319160461426 grad:0.9304651684943739
INFO:root:loss:4.342264175415039 pr_loss:0.5541996955871582 m_loss:3.7880642414093018 grad:1.463458135400402
INFO:root:loss:4.242873191833496 pr_loss:0.379160076379776 m_loss:3.863713026046753 grad:1.4110858727177906
INFO:root:loss:3.8412024974823 pr_loss:0.29596081376075745 m_loss:3.545241594314575 grad:1.313836943824868
